date;Charging Station;Duration (min);Total Energy (kWh);Nº cartão EVIO;Plus;Temp
2023-04-05;CAP_SON_MAI_00010;0.417;0.0;-;0.0;16.25
2023-04-05;CAP_SON_MAI_00010;0.417;0.0;-;0.0;16.25
2023-04-05;CAP_SON_MAI_00004;107.833;5.901;4;0.0;16.25
2023-04-05;CAP_SON_MAI_00010;506.8;51.27;0;0.0;16.25
2023-04-05;CAP_SON_MAI_00010;269.2;8.07;-;0.0;16.25
2023-04-05;CAP_SON_MAI_00001;666.9;48.0;29;0.0;16.25
2023-04-05;CAP_SON_MAI_00004;151.917;8.72;76;0.0;16.25
2023-04-06;CAP_SON_MAI_00004;142.117;7.84;4;0.0;17.5
2023-04-06;CAP_SON_MAI_00004;145.767;8.8;35;0.0;17.5
2023-04-06;CAP_SON_MAI_00010;307.733;3.19;55;0.0;17.5
2023-04-06;CAP_SON_MAI_00001;281.8;29.33;0;0.0;17.5
2023-04-06;CAP_SON_MAI_00010;255.25;12.35;55;0.0;17.5
2023-04-10;CAP_SON_MAI_00010;275.117;39.74;0;0.0;14.75
2023-04-10;CAP_SON_MAI_00010;570.65;12.27;55;0.0;14.75
2023-04-10;CAP_SON_MAI_00001;276.55;12.57;50;0.0;14.75
2023-04-11;CAP_SON_MAI_00010;303.083;49.16;29;0.0;14.75
2023-04-11;CAP_SON_MAI_00004;101.367;17.07;0;0.0;14.75
2023-04-11;CAP_SON_MAI_00010;1.067;0.08;46;0.0;14.75
2023-04-11;CAP_SON_MAI_00010;299.55;10.8;46;0.0;14.75
2023-04-11;CAP_SON_MAI_00004;103.533;12.239;55;0.0;14.75
2023-04-11;CAP_SON_MAI_00004;1.15;0.02;4;0.0;14.75
2023-04-12;CAP_SON_MAI_00010;280.083;11.69;76;0.1;13.0
2023-04-12;CAP_SON_MAI_00004;111.583;13.64;1;0.1;13.0
2023-04-12;CAP_SON_MAI_00004;169.5;9.79;4;0.1;13.0
2023-04-12;CAP_SON_MAI_00001;152.333;8.96;5;0.1;13.0
2023-04-12;CAP_SON_MAI_00010;287.417;26.07;0;0.1;13.0
2023-04-12;CAP_SON_MAI_00010;376.733;10.61;46;0.1;13.0
2023-04-13;CAP_SON_MAI_00010;664.517;7.26;55;0.05;13.0
2023-04-13;CAP_SON_MAI_00004;301.967;53.84;144;0.05;13.0
2023-04-13;CAP_SON_MAI_00010;642.3;10.43;35;0.05;13.0
2023-04-13;CAP_SON_MAI_00001;196.867;11.41;59;0.05;13.0
2023-04-13;CAP_SON_MAI_00001;260.283;12.3;5;0.05;13.0
2023-04-13;CAP_SON_MAI_00001;346.433;12.61;50;0.05;13.0
2023-04-14;CAP_SON_MAI_00001;376.533;7.27;55;0.1;13.75
2023-04-14;CAP_SON_MAI_00010;138.217;25.89;144;0.1;13.75
2023-04-14;CAP_SON_MAI_00004;0.65;0.0;50;0.1;13.75
2023-04-14;CAP_SON_MAI_00004;207.267;12.65;50;0.1;13.75
2023-04-14;CAP_SON_MAI_00004;44.917;5.35;55;0.1;13.75
2023-04-16;CAP_SON_MAI_00002;37.617;47.38;0;0.0;17.25
2023-04-17;CAP_SON_MAI_00010;310.9;11.75;76;0.0;19.5
2023-04-17;CAP_SON_MAI_00001;204.833;24.4;144;0.0;19.5
2023-04-17;CAP_SON_MAI_00004;100.183;12.19;55;0.0;19.5
2023-04-17;CAP_SON_MAI_00010;280.717;10.92;35;0.0;19.5
2023-04-17;CAP_SON_MAI_00001;228.667;27.4;144;0.0;19.5
