Start date,Stop date,Duration (min),Total Energy (kWh),Hour_00,Hour_01,Hour_02,Hour_03,Hour_04,Hour_05,Hour_06,Hour_07,Hour_08,Hour_09,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Last
2022-10-13 14:03:00,2022-10-13 20:00:00,"356,7",33.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,41.41
2022-10-13 08:24:00,2022-10-13 12:47:00,"262,667",43.69,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,33.02
2022-10-10 18:52:00,2022-10-10 19:16:00,"24,533",20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0
2022-10-07 08:12:00,2022-10-07 13:56:00,"343,633",32.25,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,20.02
2022-10-06 17:03:00,2022-10-06 19:01:00,"117,983",21.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,32.25
2022-10-06 08:36:00,2022-10-06 08:58:00,"21,9",33.51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.64
2022-10-04 13:41:00,2022-10-04 14:22:00,"40,967",48.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,33.51
2022-09-29 12:45:00,2022-09-29 19:34:00,"409,05",42.59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,48.61
2022-09-23 08:06:00,2022-09-23 13:47:00,"340,85",23.43,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,42.59
2022-09-17 16:30:00,2022-09-17 16:52:00,"22,267",36.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23.43
2022-09-16 08:23:00,2022-09-16 08:43:00,"19,767",29.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.38
2022-09-13 15:43:00,2022-09-13 19:03:00,200,23.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,29.2
2022-09-13 12:43:00,2022-09-13 13:16:00,"33,2",42.59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,23.77
2022-09-12 09:24:00,2022-09-12 12:36:00,"192,15",22.74,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,42.59
2022-09-08 20:43:00,2022-09-08 20:52:00,"9,3",8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22.74
2022-09-08 15:01:00,2022-09-08 16:44:00,"102,55",18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8.55
2022-08-22 16:08:00,2022-08-22 18:57:00,"168,917",32.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,18.7
2022-08-17 09:09:00,2022-08-17 18:28:00,"558,3",41.17,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,32.42
2022-08-05 08:57:00,2022-08-05 14:07:00,"309,433",40.99,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,41.17
2022-08-03 08:53:00,2022-08-03 14:29:00,"335,567",36.51,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,40.99
2022-08-01 08:51:00,2022-08-01 15:42:00,"410,717",40.61,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0
2022-07-20 22:44:00,2022-07-20 23:05:00,"20,95",32.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40.61
2022-07-20 06:36:00,2022-07-20 06:58:00,"21,933",13.04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.83
2022-07-19 15:23:00,2022-07-19 20:50:00,"327,283",30.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,13.04
2022-06-15 18:51:00,2022-06-15 18:57:00,"6,167",3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
2022-06-15 18:37:00,2022-06-15 18:49:00,"12,1",14.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.48
2022-06-15 15:08:00,2022-06-15 15:51:00,"43,467",41.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.34
2022-06-07 13:52:00,2022-06-07 17:36:00,"224,517",40.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,41.18
