Start date,Duration (min),Total Energy (kWh),Power,Temp,Plus,Day of Week,Month,Season,Período Escolar
2023-03-25,37.5,48.28,118.10796291844777,12.75,0.0,6,3,2,2
2023-03-26,0.0,0.0,0.0,0.0,0.0,7,3,2,2
2023-03-27,19.783,21.42,64.96486882677046,13.5,0.0,1,3,2,2
2023-03-28,0.0,0.0,0.0,0.0,0.0,2,3,2,2
2023-03-29,276.934,54.07,29.910149453576224,16.5,0.0,3,3,2,2
2023-03-30,0.0,0.0,0.0,0.0,0.0,4,3,2,2
2023-03-31,0.0,0.0,0.0,0.0,0.0,5,3,2,2
2023-04-01,0.0,0.0,0.0,0.0,0.0,6,4,2,2
2023-04-02,0.0,0.0,0.0,0.0,0.0,7,4,2,2
2023-04-03,0.0,0.0,0.0,0.0,0.0,1,4,2,2
2023-04-04,0.0,0.0,0.0,0.0,0.0,2,4,2,2
2023-04-05,666.9,48.0,4.318488529014845,16.25,0.15,3,4,2,2
2023-04-06,0.0,0.0,0.0,0.0,0.0,4,4,2,2
2023-04-07,0.0,0.0,0.0,0.0,0.0,5,4,2,2
2023-04-08,0.0,0.0,0.0,0.0,0.0,6,4,2,2
2023-04-09,0.0,0.0,0.0,0.0,0.0,7,4,2,2
2023-04-10,0.0,0.0,0.0,0.0,0.0,1,4,2,2
2023-04-11,303.083,49.16,9.73198760735508,14.75,0.05,2,4,2,2
2023-04-12,0.0,0.0,0.0,0.0,0.0,3,4,2,2
2023-04-13,0.0,0.0,0.0,0.0,0.0,4,4,2,2
2023-04-14,0.0,0.0,0.0,0.0,0.0,5,4,2,2
2023-04-15,0.0,0.0,0.0,0.0,0.0,6,4,2,2
2023-04-16,0.0,0.0,0.0,0.0,0.0,7,4,2,2
2023-04-17,15.2,17.35,68.48684210526318,19.25,0.0,1,4,2,2
2023-04-18,140.85,26.26,11.186368477103304,19.25,0.0,2,4,2,2
2023-04-19,101.333,17.95,10.628324435277747,17.0,0.0,3,4,2,2
2023-04-20,286.133,53.17,11.14936061202308,14.75,0.0,4,4,2,2
2023-04-21,0.0,0.0,0.0,0.0,0.0,5,4,2,2
2023-04-22,0.0,0.0,0.0,0.0,0.0,6,4,2,2
2023-04-23,0.0,0.0,0.0,0.0,0.0,7,4,2,2
2023-04-24,0.0,0.0,0.0,0.0,0.0,1,4,2,2
2023-04-25,0.0,0.0,0.0,0.0,0.0,2,4,2,2
2023-04-26,287.367,53.18,11.1035713912871,17.5,0.0,3,4,2,2
2023-04-27,0.0,0.0,0.0,0.0,0.0,4,4,2,2
2023-04-28,0.0,0.0,0.0,0.0,0.0,5,4,2,2
2023-04-29,0.0,0.0,0.0,0.0,0.0,6,4,2,2
2023-04-30,0.0,0.0,0.0,0.0,0.0,7,4,2,2
2023-05-01,0.0,0.0,0.0,0.0,0.0,1,5,2,2
2023-05-02,253.834,47.9,21.955781824379876,20.0,0.0,2,5,2,2
2023-05-03,0.0,0.0,0.0,0.0,0.0,3,5,2,2
2023-05-04,0.0,0.0,0.0,0.0,0.0,4,5,2,2
2023-05-05,0.0,0.0,0.0,0.0,0.0,5,5,2,2
2023-05-06,0.0,0.0,0.0,0.0,0.0,6,5,2,2
2023-05-07,0.0,0.0,0.0,0.0,0.0,7,5,2,2
2023-05-08,260.017,47.33,10.921593588111545,20.0,0.03,1,5,2,2
2023-05-09,0.0,0.0,0.0,0.0,0.0,2,5,2,2
2023-05-10,0.0,0.0,0.0,0.0,0.0,3,5,2,2
2023-05-11,0.0,0.0,0.0,0.0,0.0,4,5,2,2
2023-05-12,0.0,0.0,0.0,0.0,0.0,5,5,2,2
2023-05-13,0.0,0.0,0.0,0.0,0.0,6,5,2,2
2023-05-14,0.0,0.0,0.0,0.0,0.0,7,5,2,2
2023-05-15,0.0,0.0,0.0,0.0,0.0,1,5,2,2
2023-05-16,0.0,0.0,0.0,0.0,0.0,2,5,2,2
2023-05-17,0.0,0.0,0.0,0.0,0.0,3,5,2,2
2023-05-18,0.0,0.0,0.0,0.0,0.0,4,5,2,2
2023-05-19,0.0,0.0,0.0,0.0,0.0,5,5,2,2
2023-05-20,0.0,0.0,0.0,0.0,0.0,6,5,2,2
2023-05-21,0.0,0.0,0.0,0.0,0.0,7,5,2,2
2023-05-22,0.0,0.0,0.0,0.0,0.0,1,5,2,2
2023-05-23,0.0,0.0,0.0,0.0,0.0,2,5,2,2
2023-05-24,35.3,25.98,44.158640226628904,17.0,0.0,3,5,2,2
2023-05-25,0.0,0.0,0.0,0.0,0.0,4,5,2,2
2023-05-26,22.55,28.57,76.01773835920177,18.0,0.0,5,5,2,2
2023-05-27,0.0,0.0,0.0,0.0,0.0,6,5,2,2
2023-05-28,0.0,0.0,0.0,0.0,0.0,7,5,2,2
2023-05-29,0.0,0.0,0.0,0.0,0.0,1,5,2,2
2023-05-30,237.1,45.13,11.42049768030367,17.0,0.0,2,5,2,2
2023-05-31,321.983,19.2,3.5778286431271216,18.0,0.0,3,5,2,2
